2,status_code,pred_list,wbs_id,task_name,start_date,end_date,UNIFORMAT,,,,,,,,,,,MASTERFORMAT,,,
LE9000,Not Started,L9000,15059 LMES-5,LEVEL 9 - OVERALL,42969.33333,43084.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
A1000,Completed,,15059 LMES-5.9.6.6.4,NTP,42689,,,,,,,,,,,,,,,,
A1010,Completed,A1000,15059 LMES-5.1,SITE & FOUNDATION PERMIT (A/P #2163861),42647,42683,,,,,,,,,,,,01 00 00,General Requirements,01 41 00,Regulatory Requirements
A1020,Completed,A1010,15059 LMES-5.1,BUILDING PERMIT (A/P #2230814),42684,42804,,,,,,,,,,,,01 00 00,General Requirements,01 41 00,Regulatory Requirements
A1030,Completed,A1000,15059 LMES-5.1,PROCTOR,42669,42669,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
A1040,Completed,SU331010,15059 LMES-5.1,FIRE PROTECTION U.G. PERMIT,42748,42832,,,,,,,,,,,,01 00 00,General Requirements,01 41 00,Regulatory Requirements
A1050,In Progress,A1000 BA1106 S1100,15059 LMES-5.1,CPS - TRANSFORMER (TEMP / PERMANENT POWER),42821,42948.66667,,,,,,,,,,,,26 00 00,Electrical,26 12 00,Medium-Voltage Transformers
A1060,Completed,BA1026 A1040 A1084,15059 LMES-5.1,SAWS PERMIT - CURSORY REVIEW,42748,42760,,,,,,,,,,,,01 00 00,General Requirements,01 41 00,Regulatory Requirements
A1070,Completed,A1010,15059 LMES-5.11,SITE/FOUNDATION ISSUE FOR CONSTRUCTION,42689.33333,42713,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
A1071,Completed,A1070,15059 LMES-5.11,SITE/FOUNDATION ISSUE FOR CONSTRUCTION - REV 04,42716,42726,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU141010,Completed,BA1076,15059 LMES-5.14,SUBMIT PASSENGER ELEVATOR SHOP DRAWINGS,42817,42824,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU141020,Completed,BA1076,15059 LMES-5.14,SUBMIT  SERVICE ELEVATOR SHOP DRAWINGS,42817,42824,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU141030,Completed,SU141010 SU141020,15059 LMES-5.14,SUBMIT  CAB FINISH SAMPLES,42817,42824,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU321010,Completed,BA1190,15059 LMES-5.14,RETAINING WALL - SUBMIT  SHOP DRAWINGS,42718,42753,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU221020,Completed,BA1086 A1074,15059 LMES-5.14.1,BIM COORDINATION - PLUMBING UNDERGROUND,42767,42776,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU221030,Completed,SU221020 BA1086 DD1020 DD1130,15059 LMES-5.14.1,BIM COORDINATION  - PLUMBNG  LEVEL 1,42808,42850,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU221040,Completed,SU221030 BA1086,15059 LMES-5.14.1,BIM COORDINATION - PLUMBNG  LEVEL 2,42851,42860,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU331010,Completed,BA1026,15059 LMES-5.14,SUBMIT  SITE UTILITY SHOP DRAWINGS,42704,42733,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU261010,Completed,SU261005 DD1020 DD1130,15059 LMES-5.14.1,BIM COORINDATION - ELECTRICAL LEVEL 01,42839,42850,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU261020,Completed,SU261010,15059 LMES-5.14.1,BIM COORINDATION - LEVEL 02,42851,42860,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU261005,Completed,BA1106 A1074,15059 LMES-5.14.1,BIM COORDINATION - UNDERGROUND,42767,42776,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033010,Completed,BA1046 SU331020,15059 LMES-5.14,SUBMIT  FOUNDATION SHOP DRAWINGS,42744,42775,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033020,Completed,SU033010,15059 LMES-5.14,SUBMIT  LEVEL 2 PT SHOP DRAWINGS,42775,42817,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU331020,Completed,BA1036,15059 LMES-5.14,SUBMIT  PIER SHOP DRAWINGS,42720,42741,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU321020,Completed,SU321010,15059 LMES-5.14,RETAINING WALL - PERMIT,42765,42775,,,,,,,,,,,,01 00 00,General Requirements,01 41 00,Regulatory Requirements
SU231010,Completed,BA1096 DD1020,15059 LMES-5.14.1,BIM COORINDATION  - MECHANICAL LEVEL 01,42808,42850,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231020,Completed,SU231010,15059 LMES-5.14.1,BIM COORDINATION - LEVEL 02,42851,42860,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231030,Not Started,SU231090 SU231040,15059 LMES-5.14,ROOF - SUBMIT  MECH SHOP DRAWINGS,42899.33333,42912.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU051000,Completed,BA1116 SU051020,15059 LMES-5.14,SUBMIT LEVEL 01 STRUCTURAL STEEL DRAWINGS,42845,42881,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU051010,Completed,BA1116,15059 LMES-5.14,SUBMIT  METAL STAIR SHOP DWGS,42843,42859,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU081000,Not Started,BA1126 BA1520,15059 LMES-5.14,GLAZING - SUBMIT WINDOWS,42905.35,42927.35,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU081100,Completed,BA1140 BA1146 BA1615 SU081105,15059 LMES-5.14,SUBMIT  DOOR / HARDWARE SCHEDULE,42871,42881,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033030,Completed,SU033020 DD1020,15059 LMES-5.14,SUBMIT  LEVEL 3 PT SHOP DRAWINGS,42795,42818,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033040,Completed,SU033030,15059 LMES-5.14,SUBMIT  LEVEL 4 PT SHOP DRAWINGS,42795.33333,42818,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033050,Completed,SU033040,15059 LMES-5.14,SUBMIT  LEVEL 5 PT SHOP DRAWINGS,42795.33333,42818,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033060,Completed,SU033050,15059 LMES-5.14,SUBMIT  LEVEL 6 PT SHOP DRAWINGS,42795.33333,42818,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033070,Completed,SU033060,15059 LMES-5.14,SUBMIT  LEVEL 7 PT SHOP DRAWINGS,42795.33333,42818,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU033080,Completed,SU033070,15059 LMES-5.14,SUBMIT  LEVEL 8 PT SHOP DRAWINGS,42795.33333,42818,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU211000,Completed,BA1410 SU211010,15059 LMES-5.14.1,BIM COORDINATION - LEVEL 02,42839,42850,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU101000,Not Started,BA1420 BA1715,15059 LMES-5.14,SUBMIT  SHOP DWG - PARTITIONS,42934.33333,42961.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU091000,Not Started,BA1460 BA3315,15059 LMES-5.14,SUBMIT  FLOORING SUBMITTALS,42957.33333,42977.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231040,In Progress,SU231020,15059 LMES-5.14.1,BIM COORDINATION LEVEL 03 - 08,42864.33333,42898.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231050,Not Started,SU231040,15059 LMES-5.14,LEVEL 04 - SUBMIT  MECH SHOP DRAWINGS,42814.33333,42825.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231060,Not Started,SU231050,15059 LMES-5.14,LEVEL 05 - SUBMIT  MECH SHOP DRAWINGS,42828.33333,42839.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231070,Not Started,SU231060,15059 LMES-5.14,LEVEL 06 - SUBMIT  MECH SHOP DRAWINGS,42842.33333,42853.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231080,Not Started,SU231070,15059 LMES-5.14,LEVEL 07 - SUBMIT  MECH SHOP DRAWINGS,42856.33333,42867.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU231090,Not Started,SU231080,15059 LMES-5.14,LEVEL 08 - SUBMIT  MECH SHOP DRAWINGS,42870.33333,42881.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU261025,In Progress,SU261020 SU261020,15059 LMES-5.14.1,BIM COORINDATION - LEVEL 03 - 08,42864,42898.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
SU261035,Not Started,BA1106,15059 LMES-5.14,SUBMIT LIGHTING PACKAGE,42898.33333,42916.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP141010,Completed,SU141010,15059 LMES-5.16,APPROVE PASSENGER ELEVATOR SHOP DRAWINGS,42825,42860,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP141020,Completed,SU141020,15059 LMES-5.16,APPROVE FREIGHT ELEVATOR SHOP DRAWINGS,42825,42860,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP141030,Completed,SU141030,15059 LMES-5.16,APPROVE CAB FINISH SAMPLES,42825,42860,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP321010,In Progress,SU321010,15059 LMES-5.16,RETAINING WALL - APPROVE SHOP DRAWINGS,42754,42898.36667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP221010,Not Started,SU221020,15059 LMES-5.16,APPROVE COORDINATION SHOP DWG - UNDERGROUND,42772.33333,42783.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP221020,Not Started,SU221030,15059 LMES-5.16,APPROVE COORDINATION SHOP DWG - LEVEL 1,42786.33333,42797.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP221030,Not Started,SU221040,15059 LMES-5.16,APPROVE COORDINATION SHOP DWG - LEVEL 2 - 8,42800.33333,42811.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP331010,Completed,SU331010,15059 LMES-5.16,APPROVE SITE UTILITY SHOP DRAWINGS,42734,42745,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP261010,Not Started,SU261010,15059 LMES-5.16,APPROVE - ELEC SHOP DWGS - LEVEL 01,42779.33333,42790.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP261020,Not Started,SU261020,15059 LMES-5.16,APPROVE - ELEC SHOP DWGS - LEVEL 02,42786.33333,42797.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP261005,Not Started,SU261005,15059 LMES-5.16,APPROVE - ELEC SHOP DWGS - SITE,42765.33333,42776.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033010,Completed,SU033010,15059 LMES-5.16,APPROVE  FOUNDATION SHOP DRAWINGS,42775,42790,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033020,Completed,SU033020,15059 LMES-5.16,APPROVE LEVEL 2 PT SHOP DRAWINGS,42818,42843.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP031020,Completed,SU331020,15059 LMES-5.16,APPROVE  PIER SHOP DRAWINGS,42744,42747,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231010,Not Started,SU231010,15059 LMES-5.16,LEVEL 01 - APPROVE MECH SHOP DRAWINGS,42772.33333,42783.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231020,Not Started,SU231020,15059 LMES-5.16,LEVEL 02  - APPROVE MECH SHOP DRAWINGS,42800.33333,42811.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231030,Not Started,SU231030,15059 LMES-5.16,ROOF - APPROVE MECH SHOP DRAWINGS,42913.33333,42927.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP051000,In Progress,SU051000,15059 LMES-5.16,APPROVE LEVEL 01 STRUCTURAL STEEL DRAWINGS,42884,42901.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP051010,Completed,SU051010,15059 LMES-5.16,APPROVED METAL STAIR SHOP DWGS,42863,42881,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP081000,Not Started,SU081000,15059 LMES-5.16,GLAZING - APPROVE WINDOWS,42927.35,42941.35,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP081100,Not Started,SU081100,15059 LMES-5.16,APPROVE HARDWARE SCHEDULE,42898.33333,42909.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033030,Completed,SU033030,15059 LMES-5.16,APPROVE LEVEL 3 PT SHOP DRAWINGS,42821,42850,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033040,Completed,SU033040,15059 LMES-5.16,APPROVE LEVEL 4 PT SHOP DRAWINGS,42821,42850.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033050,Completed,SU033050,15059 LMES-5.16,APPROVE LEVEL 5 PT SHOP DRAWINGS,42821,42850.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033060,Completed,SU033060,15059 LMES-5.16,APPROVE LEVEL 6 PT SHOP DRAWINGS,42821,42850.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033070,Completed,SU033070,15059 LMES-5.16,APPROVE LEVEL 7 PT SHOP DRAWINGS,42821,42850.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP033080,Completed,SU033080,15059 LMES-5.16,APPROVE LEVEL 8 PT SHOP DRAWINGS,42821,42850.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP211000,Not Started,SU211000,15059 LMES-5.16,APPROVE COORDINATION SHOP DWGS,42779.33333,42790.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP101000,Not Started,SU101000,15059 LMES-5.16,APPROVE SHOP DWG - PARTITIONS,42962.33333,42975.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP091000,Not Started,SU091000,15059 LMES-5.16,APPROVE FLOORING,42978.33333,42999.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231040,Not Started,SU231040,15059 LMES-5.16,LEVEL 03 - APPROVE MECH SHOP DRAWINGS,42814.33333,42825.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231050,Not Started,SU231050,15059 LMES-5.16,LEVEL 04 - APPROVE MECH SHOP DRAWINGS,42828.33333,42839.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231060,Not Started,SU231060,15059 LMES-5.16,LEVEL 05 - APPROVE MECH SHOP DRAWINGS,42842.33333,42853.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231070,Not Started,SU231070,15059 LMES-5.16,LEVEL 06 - APPROVE MECH SHOP DRAWINGS,42856.33333,42867.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231080,Not Started,SU231080,15059 LMES-5.16,LEVEL 07 - APPROVE MECH SHOP DRAWINGS,42870.33333,42881.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP231090,Not Started,SU231090,15059 LMES-5.16,LEVEL 08 - APPROVE MECH SHOP DRAWINGS,42885.33333,42898.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP331040,Not Started,SU261025,15059 LMES-5.16,APPROVE - ELEC SHOP DWGS - LEVEL 03 - 08,42800.33333,42811.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP261035,Not Started,SU261035,15059 LMES-5.16,APPROVE LIGHTING PACKAGE,42919.33333,42933.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB141010,Not Started,AP141010,15059 LMES-5.3,FAB & DELIVER PASSENGER ELEVATOR 01,42898.33333,43025.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB141020,Not Started,AP141020,15059 LMES-5.3,FAB & DELIVER SERVICE ELEVATOR,42898.33333,43025.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB321000,In Progress,AP321010 SU321020,15059 LMES-5.3,FAB & DELIVER RETAINING WALL,42790,42905.36667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB261005,In Progress,AP261005 SU261005,15059 LMES-5.3,FAB & DELIVER ELEC CONDUIT FOR SITE,42842.33333,42898.33333,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB051000,Not Started,AP051000,15059 LMES-5.3,FAB & DELIVER STRUCTURAL STEEL,42824.33333,42865.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB051010,In Progress,AP051010,15059 LMES-5.3,FAB & DELIVER METAL STAIRS,42884,42928.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081000,Not Started,AP081000,15059 LMES-5.3,FAB/DELIVER WINDOWS,42941.35,43026.35,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081100,Not Started,AP081100 FB081800,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 01,42977.33333,42998.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081200,Not Started,AP081100,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 02 - 04,42912.33333,42968.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081300,Not Started,AP081100 FB081200,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 05 - 08,42969.33333,42983.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081400,Not Started,AP081100 FB081300,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 04,42906.33333,42919.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081500,Not Started,AP081100 FB081400,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 05,42921.33333,42934.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081600,Not Started,AP081100 FB081500,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 06,42935.33333,42948.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081700,Not Started,AP081100 FB081600,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 07,42949.33333,42962.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB081800,Not Started,AP081100 FB081700,15059 LMES-5.3,FAB & DELIVER DRS & HDWE - LEVEL 08,42963.33333,42976.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033020,Completed,AP033020,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 2,42844.33333,42850.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033030,Completed,AP033030,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 3,42877,42886,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033040,Not Started,AP033040,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 4,42898.33333,42902.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033050,Not Started,AP033050,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 5,42898.33333,42902.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033060,Not Started,AP033060,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 6,42898.33333,42902.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033070,Not Started,AP033070,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 7,42898.33333,42902.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB033080,Not Started,AP033080,15059 LMES-5.3,FAB/DELIVER POST TENSION - LEVEL 8,42898.33333,42902.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB031020,Completed,AP031020,15059 LMES-5.3,FAB/DELIVER REBAR - PIERS / BEAMS,42751,42755,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB211000,Not Started,AP211000 SU211000,15059 LMES-5.3,FAB/DELIVER FIRE PUMP,42898.33333,42954.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB101000,Not Started,AP101000,15059 LMES-5.3,FAB/DELIVER FOLDING PANEL PARTITION,42976.33333,43060.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB091000,Not Started,AP091000,15059 LMES-5.3,FAB/DELIVER FLOORING,43000.33333,43041.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB261035,Not Started,AP261035,15059 LMES-5.3,FAB/DELIVER LIGHT FIXTURES,42934.33333,42990.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB261020,Not Started,AP261010 AP261045,15059 LMES-5.3,FAB/DELIVER GENERATOR,42898.33333,43025.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB261025,Not Started,AP261010 SU261010,15059 LMES-5.3,FAB/DELIVER SWITCHGEAR,42898.33333,42983.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231000,Not Started,AP231010 AP231100,15059 LMES-5.3,FAB CHILLER,42905.33333,43004.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231010,Not Started,AP231010 SU231010,15059 LMES-5.3,FAB CHILLER WATER PUMPS,42898.33333,42968.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231020,Not Started,AP231010 SU231010,15059 LMES-5.3,FAB  ELECTRIC UNIT HEATERS,42898.33333,42933.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231030,Not Started,AP231020 AP231040 AP231050 AP231060 AP231070 AP231080 AP231090 AP231100 DD1110,15059 LMES-5.3,FAB FAN COIL UNITS,42905.33333,42961.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231040,Not Started,AP231020 SU231020,15059 LMES-5.3,FAB AIR HANDLING UNITS,42898.33333,42983.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231050,Not Started,AP231030,15059 LMES-5.3,FAB ROOF TOP UNITS,42928.33333,42998.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
AP331020,Not Started,AP033010,15059 LMES-5.3,FAB/DELIVER REBAR - LEVEL 01,42773.33333,42786.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB261006,Not Started,AP261005 SU261005,15059 LMES-5.3,FAB LIGHT POLES,42898.33333,42902.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
FB231060,Not Started,AP231030,15059 LMES-5.3,FAB MAKE UP AIR UNITS,42928.33333,43040.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
C1020,Not Started,C1150,15059 LMES-5.4,ERECT TOWER CRANE,42803.33333,42804.66667,,,,,,,,,,,,01 00 00,General Requirements,01 54 00,Construction Aids
C1000,Not Started,BA1046,15059 LMES-5.4,TOWER CRANE ENG'R DESIGN DRAWING,42751.33333,42769.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
C1010,Not Started,C1170,15059 LMES-5.4,TOWER CRANE FOUNDATION,42789.33333,42795.66667,,,,,,,,,,,,01 00 00,General Requirements,01 54 00,Construction Aids
C1050,Not Started,L9140 L9080 AP141030,15059 LMES-5.4,INSTALL SERVICE ELEVATOR,43048.33333,43166.66667,,,,,,,,,,,,01 00 00,General Requirements,01 54 00,Construction Aids
